id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
531959,OH,INDIVIDUAL,5 years,Crestview Rehabilitation,B,OWN,2021-06-10,2021-07-13,2021-01-13,Charged Off,2021-02-13,687675,Debt consolidation,B5,36,Not Verified,24000.0,0.1655,232.04,0.1186,7000,17,7351
677405,MA,INDIVIDUAL,1 year,"Lowell, Blake & Associates",A,RENT,2021-02-11,2021-03-14,2021-03-14,Fully Paid,2021-04-14,865495,Debt consolidation,A2,36,Not Verified,35100.0,0.0229,106.15,0.0579,3500,12,3821
767579,TX,INDIVIDUAL,10+ years,City of Longview,A,OWN,2021-06-11,2021-08-15,2021-05-14,Fully Paid,2021-06-14,968722,Debt consolidation,A3,36,Source Verified,49441.6,0.0653,370.48,0.0699,12000,23,13335
866411,TX,INDIVIDUAL,< 1 year,Falcon Insurance,B,RENT,2021-08-11,2021-01-16,2021-05-12,Fully Paid,2021-06-12,1079923,credit card,B5,36,Verified,42000.0,0.1831,61.44,0.1199,1850,28,1986
701080,MA,INDIVIDUAL,< 1 year,Giorgio Armani,B,RENT,2021-03-11,2021-10-15,2021-12-11,Fully Paid,2022-01-11,892826,other,B4,60,Source Verified,15000.0,0.1472,54.04,0.1074,2500,4,2671
1054743,AR,INDIVIDUAL,10+ years,INTERTEK,A,MORTGAGE,2021-12-11,2021-04-15,2021-10-13,Fully Paid,2021-11-13,1286600,Debt consolidation,A1,36,Not Verified,75000.0,0.101,310.45,0.0603,10200,31,11017
751652,GA,INDIVIDUAL,4 years,Toccoa Family Medicine,B,MORTGAGE,2021-05-11,2021-05-12,2021-05-12,Fully Paid,2021-06-12,951110,home improvement,B4,60,Source Verified,204000.0,0.0152,439.76,0.1149,20000,30,21741
661230,NY,INDIVIDUAL,4 years,NYPD,C,RENT,2021-01-11,2021-05-16,2021-09-13,Fully Paid,2021-10-13,845655,wedding,C4,36,Verified,65000.0,0.1566,681.62,0.138,20000,16,24425
834473,NC,INDIVIDUAL,9 years,Family Dollar Stores,D,MORTGAGE,2021-08-11,2021-05-16,2021-09-11,Fully Paid,2021-10-11,1044320,Debt consolidation,D2,36,Not Verified,170000.0,0.2174,263.65,0.1599,7500,30,7601
616605,MA,INDIVIDUAL,10+ years,Marriott Intl,D,RENT,2021-11-10,2021-01-15,2021-12-13,Fully Paid,2022-01-13,790604,Debt consolidation,D1,36,Verified,33996.0,0.2026,205.33,0.1409,6000,14,7393
642467,TX,INDIVIDUAL,1 year,Workforce Solutions,B,RENT,2021-01-11,2021-05-16,2021-02-12,Charged Off,2021-03-12,822318,other,B4,60,Not Verified,36000.0,0.1303,106.22,0.0999,5000,14,1423
549509,IL,INDIVIDUAL,2 years,International Latino Cultural Center,D,RENT,2021-07-10,2021-01-16,2021-08-15,Fully Paid,2021-09-15,708366,small business,D3,60,Source Verified,30000.0,0.2036,295.17,0.1558,12250,22,17710
426389,MD,INDIVIDUAL,10+ years,Naval Air Systems Command,A,RENT,2021-08-09,2021-09-11,2021-09-11,Fully Paid,2021-10-11,503349,credit card,A5,36,Verified,116000.0,0.0714,349.49,0.0894,11000,48,12385
355666,FL,INDIVIDUAL,10+ years,Home Depot,A,RENT,2021-09-08,2021-05-16,2021-03-10,Fully Paid,2021-04-10,360502,credit card,A4,36,Not Verified,56000.0,0.1704,135.39,0.0832,5600,32,4720
729647,IL,INDIVIDUAL,3 years,Neurowave Medical Technologies,B,OWN,2021-04-11,2021-05-16,2021-11-13,Fully Paid,2021-12-13,925444,Debt consolidation,B5,36,Not Verified,36400.0,0.1098,229.54,0.1111,7000,18,8221
872334,FL,INDIVIDUAL,< 1 year,University Of Florida College of Pharm,B,RENT,2021-09-11,2021-05-16,2021-11-14,Charged Off,2021-12-14,1086519,major purchase,B4,60,Verified,30000.0,0.006,336.86,0.1242,15000,5,12454
735441,PA,INDIVIDUAL,4 years,Customized Distribution Services,A,OWN,2021-05-11,2021-05-16,2021-05-14,Fully Paid,2021-06-14,932157,car,A5,36,Not Verified,120000.0,0.2412,220.95,0.0849,7000,46,7954
360494,AZ,INDIVIDUAL,2 years,The University of Arizona Foundation,E,RENT,2021-11-08,2021-02-16,2021-11-11,Fully Paid,2021-12-11,368161,Debt consolidation,E1,36,Verified,110000.0,0.248,519.47,0.1493,15000,40,18701
473701,GA,INDIVIDUAL,2 years,Northeast Georgia Health Systlems,B,MORTGAGE,2021-02-10,2021-05-16,2021-03-13,Fully Paid,2021-04-13,598884,credit card,B3,36,Not Verified,70000.0,0.1994,150.59,0.1062,4625,24,5422
546626,RI,INDIVIDUAL,2 years,"First Point Power, LLC",C,RENT,2021-07-10,2021-07-13,2021-08-13,Fully Paid,2021-09-13,704851,small business,C5,36,Not Verified,136000.0,0.1161,414.35,0.1472,12000,40,14917
529073,NY,INDIVIDUAL,1 year,Valiant Insurance Company,A,RENT,2021-06-10,2021-06-13,2021-06-13,Fully Paid,2021-07-13,684234,Debt consolidation,A5,36,Source Verified,73000.0,0.1703,312.82,0.0788,10000,20,11262
485679,MI,INDIVIDUAL,10+ years,Roseville Community Schools,C,MORTGAGE,2021-02-10,2021-12-14,2021-03-13,Fully Paid,2021-04-13,618821,Debt consolidation,C1,36,Not Verified,79000.0,0.2467,537.06,0.1273,16000,25,19336
740458,MN,INDIVIDUAL,2 years,g4s,A,RENT,2021-05-11,2021-01-14,2021-09-11,Fully Paid,2021-10-11,938168,other,A4,36,Not Verified,44000.0,0.0968,311.02,0.0749,10000,14,10240
745770,NJ,INDIVIDUAL,3 years,Creative Financial Group,C,OWN,2021-05-11,2021-01-12,2021-09-11,Charged Off,2021-10-11,944393,credit card,C2,36,Not Verified,48000.0,0.2127,122.15,0.1349,3600,17,571
512665,CA,INDIVIDUAL,10+ years,Santa Barbara City College,D,RENT,2021-05-10,2021-05-16,2021-06-13,Fully Paid,2021-07-13,662401,major purchase,D1,36,Source Verified,78000.0,0.0623,68.93,0.1459,2000,15,2483
782593,CT,INDIVIDUAL,10+ years,Leir Retreat Center,E,RENT,2021-06-11,2021-08-15,2021-06-14,Fully Paid,2021-07-14,985599,Debt consolidation,E1,60,Source Verified,120000.0,0.0478,313.87,0.1939,12000,17,17502
372049,NY,INDIVIDUAL,6 years,forest hills hospital,A,RENT,2021-01-09,2021-04-10,2021-03-10,Fully Paid,2021-04-10,390532,wedding,A4,36,Verified,36895.02,0.0852,134.18,0.0932,4200,15,4582
487786,NH,INDIVIDUAL,10+ years,University of New Hampshire,B,RENT,2021-02-10,2021-08-11,2021-10-11,Fully Paid,2021-11-11,621941,other,B1,36,Not Verified,47480.0,0.1681,222.26,0.0988,6900,24,7735
351053,FL,INDIVIDUAL,4 years,Walt Disney Company,B,RENT,2021-07-08,2021-04-16,2021-08-09,Charged Off,2021-09-09,353480,Debt consolidation,B2,36,Not Verified,22596.0,0.0674,241.16,0.0976,7500,8,3135
883533,GA,INDIVIDUAL,3 years,Peer 1 Network,A,MORTGAGE,2021-09-11,2021-10-14,2021-12-12,Fully Paid,2022-01-12,1098860,home improvement,A1,36,Source Verified,62000.0,0.0515,60.88,0.0603,2000,24,2117
373291,TX,INDIVIDUAL,3 years,Byn flowback Services,C,RENT,2021-01-09,2021-07-15,2021-12-11,Fully Paid,2022-01-11,393179,Debt consolidation,C4,36,Source Verified,65000.0,0.1248,169.62,0.1347,5000,21,6164
472753,NY,INDIVIDUAL,3 years,Transperfect Translation,B,RENT,2021-01-10,2021-05-16,2021-01-13,Fully Paid,2021-02-13,596965,home improvement,B4,36,Not Verified,55000.0,0.0332,166.5,0.1218,5000,10,5994
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,2021-06-11,2021-06-12,2021-02-12,Charged Off,2021-03-12,986688,car,A4,36,Not Verified,48000.0,0.2585,186.61,0.0749,6000,16,1575
638736,TX,INDIVIDUAL,< 1 year,Dell Inc.,D,MORTGAGE,2021-12-10,2021-05-16,2021-03-13,Fully Paid,2021-04-13,818170,Debt consolidation,D2,36,Verified,62000.0,0.2385,619.23,0.1446,18000,15,21902
668646,NY,INDIVIDUAL,3 years,Barclays Capital (formerly Lehman Brothe,C,RENT,2021-02-11,2021-05-16,2021-02-14,Fully Paid,2021-03-14,854937,Debt consolidation,C2,36,Verified,124499.61,0.0197,843.08,0.1306,25000,9,30362
626717,CA,INDIVIDUAL,< 1 year,General Atomics,C,MORTGAGE,2021-12-10,2021-05-16,2021-08-13,Charged Off,2021-09-13,803090,credit card,C4,60,Verified,50000.0,0.0602,386.99,0.1335,25000,36,11995
439548,CT,INDIVIDUAL,6 years,General Dynamics Electric Boat,A,RENT,2021-09-09,2021-04-16,2021-09-12,Fully Paid,2021-10-12,531166,wedding,A5,36,Not Verified,54996.0,0.2014,158.86,0.0894,5000,25,5719
692150,CA,INDIVIDUAL,9 years,Oce Business Services,C,RENT,2021-03-11,2021-09-15,2021-02-12,Fully Paid,2021-03-12,882793,Debt consolidation,C3,60,Not Verified,51000.0,0.1579,206.77,0.1343,9000,24,10040
468599,IL,INDIVIDUAL,10+ years,City of Chicago,B,OWN,2021-12-09,2021-03-14,2021-08-12,Fully Paid,2021-09-12,590309,Debt consolidation,B2,36,Not Verified,79000.0,0.0688,478.05,0.1148,14500,65,17142
674628,CA,INDIVIDUAL,10+ years,interscape construction,B,MORTGAGE,2021-04-11,2021-03-16,2021-04-14,Fully Paid,2021-05-14,862270,credit card,B2,36,Source Verified,72000.0,0.1353,322.68,0.1,10000,19,11616
524258,NJ,INDIVIDUAL,4 years,Prudential,D,RENT,2021-06-10,2021-11-13,2021-06-13,Fully Paid,2021-07-13,678336,other,D2,36,Verified,96000.0,0.0845,52.16,0.1521,1500,22,1878
552991,IL,INDIVIDUAL,6 years,Alterian,C,MORTGAGE,2021-08-10,2021-03-15,2021-03-15,Fully Paid,2021-04-15,712533,Debt consolidation,C3,60,Verified,135000.0,0.1323,581.45,0.1398,25000,16,34699
693893,NV,INDIVIDUAL,3 years,,B,MORTGAGE,2021-03-11,2021-05-16,2021-03-16,Fully Paid,2021-04-16,884748,car,B2,60,Not Verified,55000.0,0.0984,138.11,0.1,6500,16,8286
268855,FL,INDIVIDUAL,7 years,HD of Daytona,B,MORTGAGE,2021-03-08,2021-05-16,2021-08-08,Charged Off,2021-09-08,268848,house,B2,36,Not Verified,65000.0,0.1135,482.32,0.0976,15000,12,2410
1053652,CA,INDIVIDUAL,5 years,Cal Fire,B,RENT,2021-12-11,2021-12-15,2021-12-14,Fully Paid,2022-01-14,1285248,Debt consolidation,B5,36,Not Verified,75000.0,0.0797,503.18,0.1269,15000,26,18114
830563,CA,INDIVIDUAL,1 year,Qualcomm Inc.,B,RENT,2021-07-11,2021-08-14,2021-08-14,Fully Paid,2021-09-14,1039714,other,B1,36,Not Verified,80000.0,0.0065,64.53,0.0999,2000,7,2323
1068484,AZ,INDIVIDUAL,5 years,Edward Jones,C,RENT,2021-12-11,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1302879,Debt consolidation,C1,36,Not Verified,50000.0,0.1538,203.59,0.1349,6000,7,7329
371841,FL,INDIVIDUAL,10+ years,Retired,A,OTHER,2021-01-09,2021-05-16,2021-03-10,Charged Off,2021-04-10,390144,home improvement,A5,36,Verified,70000.0,0.1219,481.42,0.0963,15000,30,3369
492524,NJ,INDIVIDUAL,10+ years,Temple University,A,MORTGAGE,2021-03-10,2021-03-16,2021-02-12,Fully Paid,2021-03-12,629932,Debt consolidation,A3,36,Not Verified,50000.0,0.1589,185.64,0.0714,6000,22,6585
1020800,NY,INDIVIDUAL,1 year,Roubini Global Economics,A,RENT,2021-11-11,2021-05-16,2021-05-14,Fully Paid,2021-06-14,1249584,Debt consolidation,A5,36,Not Verified,90000.0,0.0548,323.89,0.089,10200,26,11594
811269,KY,INDIVIDUAL,10+ years,,B,OWN,2021-07-11,2021-05-16,2021-07-14,Fully Paid,2021-08-14,1018268,Debt consolidation,B5,36,Source Verified,105859.0,0.1482,398.52,0.1199,12000,20,14346
551438,TX,INDIVIDUAL,2 years,Fossil Inc,B,RENT,2021-07-10,2021-05-16,2021-11-12,Fully Paid,2021-12-12,710635,other,B2,36,Not Verified,36000.0,0.1,163.11,0.1075,5000,12,5761
133301,MO,INDIVIDUAL,10+ years,pepsi cola,C,MORTGAGE,2021-10-07,2021-05-16,2021-10-09,Charged Off,2021-11-09,133259,other,C1,36,Not Verified,45600.0,0.0326,150.66,0.1028,4650,25,4074
469289,CA,INDIVIDUAL,4 years,JD Power and Associates,C,RENT,2021-12-09,2021-12-12,2021-08-12,Charged Off,2021-09-12,591708,Debt consolidation,C3,36,Not Verified,47500.0,0.213,339.69,0.1357,10000,14,10644
622192,GA,INDIVIDUAL,1 year,JackBe Corporation,A,MORTGAGE,2021-12-10,2021-10-12,2021-06-12,Fully Paid,2021-07-12,797414,Debt consolidation,A5,36,Not Verified,70000.0,0.2275,249.01,0.0691,11600,26,8728
396522,AZ,INDIVIDUAL,< 1 year,DollarServ Inc.,B,OTHER,2021-05-09,2021-05-12,2021-05-12,Fully Paid,2021-06-12,436759,small business,B5,36,Verified,58000.0,0.0749,533.04,0.1221,16000,18,19189
983802,TX,INDIVIDUAL,5 years,Reliant Energy,A,RENT,2021-10-11,2021-03-16,2021-06-14,Fully Paid,2021-07-14,1207161,Debt consolidation,A4,36,Verified,36900.0,0.0849,500.65,0.079,16000,40,17991
317953,NV,INDIVIDUAL,7 years,Team Ford,C,MORTGAGE,2021-04-08,2021-03-12,2021-05-11,Fully Paid,2021-06-11,317948,credit card,C4,36,Not Verified,89018.0,0.1459,135.29,0.1197,5800,19,4870
719577,NH,INDIVIDUAL,10+ years,US Postal Service,B,MORTGAGE,2021-04-11,2021-04-16,2021-06-12,Charged Off,2021-07-12,913931,Debt consolidation,B3,60,Verified,52000.0,0.1168,514.31,0.1037,24000,21,6682
735466,PA,INDIVIDUAL,10+ years,Pennsylvania Hospital,B,MORTGAGE,2021-04-11,2021-07-14,2021-07-14,Fully Paid,2021-08-14,932184,home improvement,B4,36,Not Verified,68000.0,0.1631,326.16,0.1074,10000,20,11795
482155,IL,INDIVIDUAL,2 years,ATI Physical Therapy,B,RENT,2021-02-10,2021-02-13,2021-02-13,Fully Paid,2021-03-13,613293,Debt consolidation,B4,36,Not Verified,48880.0,0.1979,180.05,0.1099,5500,25,6482
462171,UT,INDIVIDUAL,< 1 year,,D,MORTGAGE,2021-12-09,2021-12-12,2021-12-12,Fully Paid,2022-01-12,578022,small business,D3,36,Not Verified,90000.0,0.1589,678.9,0.1531,19500,36,24475
605519,FL,INDIVIDUAL,< 1 year,Ymca Central Florida,B,RENT,2021-11-10,2021-08-14,2021-07-14,Fully Paid,2021-08-14,776811,credit card,B5,60,Not Verified,143500.0,0.1782,356.72,0.1036,25000,35,21005
423195,NY,INDIVIDUAL,1 year,Self,A,OTHER,2021-07-09,2021-06-12,2021-06-12,Fully Paid,2021-07-12,497905,Debt consolidation,A4,36,Verified,29666.0,0.1391,95.85,0.0932,3000,19,3449
542631,CA,INDIVIDUAL,2 years,Massage Envy,B,OWN,2021-07-10,2021-11-11,2021-09-11,Charged Off,2021-10-11,700216,other,B5,36,Source Verified,24000.0,0.012,232.04,0.1186,7000,29,3476
515298,CA,INDIVIDUAL,3 years,Fehr and Peers,A,RENT,2021-05-10,2021-02-13,2021-01-13,Fully Paid,2021-02-13,666104,Debt consolidation,A3,36,Source Verified,34650.24,0.1174,383.68,0.0714,12400,23,13639
498135,FL,INDIVIDUAL,2 years,Central Florida Community College,C,RENT,2021-04-10,2021-11-12,2021-11-12,Fully Paid,2021-12-12,638757,Debt consolidation,C1,36,Not Verified,40000.0,0.2307,469.93,0.1273,14000,8,16844
617528,CA,INDIVIDUAL,3 years,E & E Co. Ltd.,A,RENT,2021-11-10,2021-02-15,2021-01-12,Fully Paid,2021-02-12,791692,Debt consolidation,A3,36,Source Verified,42000.0,0.1429,342.36,0.0617,18000,17,11754
451546,MI,INDIVIDUAL,5 years,PCSM,A,MORTGAGE,2021-10-09,2021-07-11,2021-08-11,Fully Paid,2021-09-11,556379,home improvement,A5,36,Not Verified,120000.0,0.0344,571.89,0.0894,18000,35,19756
417166,CA,INDIVIDUAL,1 year,Cameron Health Inc.,C,RENT,2021-06-09,2021-12-12,2021-12-10,Fully Paid,2022-01-10,486289,Debt consolidation,C3,36,Not Verified,71000.0,0.0742,405.25,0.1316,12000,38,12739
920743,OH,INDIVIDUAL,10+ years,Electric Power Systems,E,MORTGAGE,2021-10-11,2021-05-16,2021-02-14,Charged Off,2021-03-14,1141294,Debt consolidation,E1,60,Verified,90000.0,0.0419,901.01,0.1864,35000,13,24326
814138,CA,INDIVIDUAL,4 years,Winston Retail Solutions,A,RENT,2021-07-11,2021-10-15,2021-08-14,Fully Paid,2021-09-14,1021633,Debt consolidation,A4,36,Not Verified,76000.0,0.1712,186.61,0.0749,6000,22,6718
521132,OH,INDIVIDUAL,5 years,heinzerling,D,RENT,2021-05-10,2021-01-16,2021-02-14,Fully Paid,2021-03-14,673855,other,D4,60,Not Verified,21600.0,0.1678,205.36,0.157,8500,6,11983
815446,FL,INDIVIDUAL,8 years,Roger Dean Chevrolet,A,RENT,2021-07-11,2021-09-14,2021-08-14,Fully Paid,2021-09-14,1023106,wedding,A4,36,Not Verified,52000.0,0.2409,205.28,0.0749,6600,10,7390
730505,NY,INDIVIDUAL,10+ years,mckesson,D,RENT,2021-04-11,2021-05-16,2021-05-16,Fully Paid,2021-06-16,926468,medical,D2,60,Source Verified,37000.0,0.2121,28.5,0.1491,1200,14,1709
473447,VA,INDIVIDUAL,1 year,Federal Emergency Management Agency,A,RENT,2021-01-10,2021-11-10,2021-10-10,Fully Paid,2021-11-10,598347,other,A5,36,Verified,78513.0,0.0061,317.72,0.0894,10000,5,10604
765006,TX,INDIVIDUAL,3 years,AMEC,D,MORTGAGE,2021-06-11,2021-06-14,2021-07-14,Fully Paid,2021-08-14,965827,small business,D3,36,Verified,177632.0,0.1692,1080.57,0.1649,35000,40,38900
652998,NY,INDIVIDUAL,5 years,"Moen, Inc",F,RENT,2021-01-11,2021-03-13,2021-06-11,Fully Paid,2021-07-11,835114,Debt consolidation,F3,36,Verified,79000.0,0.1551,549.77,0.1899,15000,31,16137
352302,GA,INDIVIDUAL,5 years,Delta Air Lines,C,MORTGAGE,2021-07-08,2021-05-16,2021-02-09,Charged Off,2021-03-09,355306,major purchase,C4,36,Verified,57000.0,0.2276,376.52,0.1222,15000,20,2278
509401,CA,INDIVIDUAL,10+ years,,B,MORTGAGE,2021-05-10,2021-06-11,2021-06-11,Fully Paid,2021-07-11,657463,home improvement,B1,36,Verified,106000.0,0.0224,644.21,0.0988,20000,23,21708
684720,PA,INDIVIDUAL,4 years,Paris Uniform Services,C,MORTGAGE,2021-03-11,2021-12-14,2021-12-14,Fully Paid,2022-01-14,874230,car,C3,60,Verified,82500.0,0.1139,192.98,0.1343,8400,36,11335
744325,FL,INDIVIDUAL,4 years,bike america,B,RENT,2021-05-11,2021-11-15,2021-03-13,Fully Paid,2021-04-13,942790,car,B3,36,Source Verified,52800.0,0.1195,293.79,0.1099,8975,17,10308
522450,OH,INDIVIDUAL,10+ years,"Emrson Network Power, Liebert Services",A,OWN,2021-05-10,2021-11-14,2021-06-13,Fully Paid,2021-07-13,675787,medical,A5,36,Verified,64800.0,0.1439,93.85,0.0788,3000,27,3378
519155,AZ,INDIVIDUAL,10+ years,JPMorgan Chase,B,MORTGAGE,2021-05-10,2021-06-13,2021-06-13,Fully Paid,2021-07-13,671177,credit card,B4,36,Not Verified,44400.0,0.1557,441.91,0.1099,21000,14,15909
586611,NJ,INDIVIDUAL,7 years,BJs WholeSale,A,RENT,2021-09-10,2021-05-14,2021-10-13,Fully Paid,2021-11-13,753596,other,A3,36,Source Verified,26004.0,0.0554,185.65,0.0714,6000,7,6681
821933,NH,INDIVIDUAL,1 year,Boost Mobile,E,RENT,2021-07-11,2021-03-16,2021-10-13,Fully Paid,2021-11-13,1030327,Debt consolidation,E1,36,Source Verified,30000.0,0.0204,216.89,0.1799,6000,7,7640
469070,IL,INDIVIDUAL,< 1 year,Columbia College Chicago,A,RENT,2021-12-09,2021-08-11,2021-08-11,Fully Paid,2021-09-11,591299,Debt consolidation,A3,36,Not Verified,38500.0,0.0842,171.71,0.0774,5500,16,5972
1015893,GA,INDIVIDUAL,4 years,Packaging Dynamics,C,MORTGAGE,2021-11-11,2021-02-13,2021-08-12,Charged Off,2021-09-12,1243585,Debt consolidation,C4,36,Verified,96000.0,0.0951,751.64,0.1527,21600,14,7745
684698,VA,INDIVIDUAL,7 years,Oakbridge Corporation,A,RENT,2021-02-11,2021-10-14,2021-06-13,Fully Paid,2021-07-13,874202,Debt consolidation,A5,36,Source Verified,32000.0,0.102,342.98,0.0766,11000,6,12251
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,2021-01-08,2021-04-16,2021-04-10,Fully Paid,2021-05-10,167318,car,A1,36,Not Verified,28800.0,0.0,108.27,0.0712,3500,5,3863
277875,RI,INDIVIDUAL,2 years,Ping Identity,D,MORTGAGE,2021-03-08,2021-08-15,2021-03-11,Fully Paid,2021-04-11,276289,Debt consolidation,D1,36,Not Verified,84000.0,0.1451,670.13,0.1261,20000,20,24125
447470,RI,INDIVIDUAL,10+ years,General Growth Properties,A,MORTGAGE,2021-10-09,2021-07-13,2021-10-12,Fully Paid,2021-11-12,548178,Debt consolidation,A5,36,Not Verified,90000.0,0.1047,317.72,0.0894,10000,54,11438
794722,NY,INDIVIDUAL,2 years,Teddy's Bar and Grill,B,RENT,2021-07-11,2021-04-16,2021-10-13,Fully Paid,2021-11-13,999374,credit card,B3,36,Source Verified,42000.0,0.0314,261.88,0.1099,8000,8,9323
821750,FL,INDIVIDUAL,10+ years,City of Miami Fire Department,A,MORTGAGE,2021-07-11,2021-06-15,2021-04-14,Fully Paid,2021-05-14,1030133,Debt consolidation,A2,36,Not Verified,115000.0,0.0159,365.01,0.0599,12000,16,13122
546108,CA,INDIVIDUAL,4 years,Novato Human Needs Center,B,RENT,2021-07-10,2021-05-16,2021-07-15,Fully Paid,2021-08-15,698345,credit card,B4,60,Verified,80000.0,0.141,301.78,0.1149,20000,25,18107
608616,MA,INDIVIDUAL,8 years,Macys,C,RENT,2021-11-10,2021-05-16,2021-11-15,Fully Paid,2021-12-15,780731,Debt consolidation,C2,60,Verified,43000.0,0.1981,293.21,0.1261,13000,25,17592
